iter	Passed	Remaining
428	1743	2320
429	1751	2321
430	1753	2314
431	1754	2307
432	1756	2300
433	1762	2298
434	1766	2294
435	1780	2303
436	1782	2296
437	1784	2289
438	1786	2282
439	1787	2274
440	1792	2272
441	1796	2267
442	1804	2268
443	1805	2261
444	1809	2256
445	1810	2249
446	1812	2242
447	1814	2235
448	1815	2228
449	1817	2221
450	1818	2213
451	1824	2212
452	1826	2205
453	1827	2197
454	1829	2191
455	1831	2185
456	1833	2178
457	1837	2174
458	1846	2176
459	1848	2169
460	1849	2162
461	1851	2155
462	1852	2148
463	1854	2141
464	1876	2158
465	1877	2151
466	1879	2144
467	1880	2137
468	1881	2130
469	1883	2123
470	1884	2116
471	1885	2109
472	1887	2102
473	1888	2096
474	1890	2089
475	1891	2082
476	1892	2075
477	1896	2071
478	1897	2064
479	1900	2059
480	1928	2080
481	1929	2073
482	1931	2067
483	1932	2060
484	1934	2054
485	1936	2047
486	1937	2040
487	1939	2034
488	1940	2027
489	1941	2021
490	1943	2014
491	1944	2007
492	1945	2001
493	1947	1994
494	1948	1988
495	1949	1981
496	1951	1975
497	1954	1970
498	1957	1965
499	1958	1958
500	1959	1952
501	1961	1945
502	1962	1939
503	1965	1934
504	1971	1932
505	1972	1926
506	1974	1919
507	1978	1915
508	1987	1917
509	1994	1916
510	1995	1909
511	1997	1903
512	1998	1897
513	2001	1892
514	2009	1892
515	2011	1886
516	2012	1880
517	2015	1875
518	2016	1868
519	2019	1863
520	2023	1860
521	2026	1855
522	2027	1849
523	2030	1844
524	2050	1855
525	2052	1849
526	2054	1843
527	2055	1837
528	2057	1831
529	2058	1825
530	2060	1819
531	2062	1814
532	2063	1808
533	2065	1802
534	2066	1796
535	2070	1792
536	2071	1786
537	2073	1780
538	2103	1798
539	2105	1793
540	2107	1788
541	2109	1782
542	2111	1776
543	2112	1770
544	2113	1764
545	2115	1758
546	2116	1752
547	2118	1747
548	2119	1741
549	2120	1735
550	2122	1729
551	2123	1723
552	2129	1721
553	2134	1718
554	2137	1713
555	2141	1710
556	2145	1706
557	2155	1707
558	2157	1701
559	2163	1700
560	2170	1698
561	2174	1694
562	2186	1696
563	2190	1693
564	2193	1688
565	2197	1684
566	2201	1680
567	2204	1676
568	2208	1672
569	2211	1668
570	2215	1664
571	2218	1660
572	2222	1656
573	2231	1656
574	2233	1650
575	2234	1644
576	2235	1639
577	2237	1633
578	2238	1627
579	2239	1622
580	2242	1617
581	2246	1613
582	2250	1609
583	2252	1604
584	2258	1602
585	2262	1598
586	2267	1595
587	2273	1592
588	2276	1588
589	2278	1583
590	2284	1580
591	2287	1576
592	2292	1573
593	2296	1569
594	2300	1565
595	2304	1562
596	2308	1558
597	2311	1553
598	2324	1555
599	2326	1550
600	2329	1546
601	2342	1548
602	2347	1545
603	2349	1540
604	2355	1538
605	2360	1534
606	2365	1531
607	2367	1526
608	2371	1522
609	2381	1522
610	2390	1521
611	2392	1516
612	2393	1511
613	2395	1505
614	2397	1501
615	2402	1497
616	2405	1493
617	2411	1490
618	2412	1485
619	2414	1479
620	2416	1474
621	2420	1471
622	2423	1466
623	2425	1461
624	2429	1457
625	2432	1453
626	2435	1448
627	2436	1443
628	2437	1437
629	2439	1432
630	2440	1427
631	2441	1421
632	2476	1435
633	2479	1431
634	2480	1425
635	2482	1420
636	2483	1415
637	2484	1409
638	2487	1405
639	2490	1400
640	2491	1395
641	2493	1390
642	2494	1384
643	2496	1379
644	2513	1383
645	2515	1378
646	2516	1373
647	2518	1368
648	2520	1363
649	2522	1358
650	2523	1352
651	2525	1348
652	2528	1343
653	2530	1338
654	2533	1334
655	2536	1330
656	2559	1336
657	2561	1331
658	2562	1326
659	2564	1321
660	2565	1315
661	2567	1310
662	2570	1306
663	2573	1302
664	2575	1297
665	2578	1293
666	2581	1288
667	2583	1283
668	2586	1279
669	2617	1289
670	2618	1284
671	2620	1279
672	2622	1274
673	2623	1269
674	2625	1264
675	2627	1259
676	2633	1256
677	2636	1252
678	2638	1247
679	2641	1242
680	2642	1237
681	2645	1233
682	2649	1229
683	2651	1224
684	2655	1221
685	2656	1216
686	2658	1211
687	2660	1206
688	2666	1203
689	2669	1199
690	2675	1196
691	2677	1191
692	2686	1190
693	2688	1185
694	2691	1181
695	2693	1176
696	2696	1172
697	2698	1167
698	2711	1167
699	2716	1164
700	2720	1160
701	2722	1155
702	2723	1150
703	2726	1146
704	2727	1141
705	2731	1137
706	2736	1134
707	2740	1130
708	2743	1125
709	2745	1121
710	2747	1116
711	2749	1112
712	2751	1107
713	2754	1103
714	2758	1099
715	2760	1094
716	2762	1090
717	2791	1096
718	2794	1092
719	2799	1088
720	2802	1084
721	2806	1080
722	2810	1076
723	2813	1072
724	2815	1067
725	2826	1066
726	2829	1062
727	2836	1059
728	2842	1056
729	2844	1052
730	2849	1048
731	2855	1045
732	2859	1041
733	2863	1037
734	2867	1033
735	2872	1030
736	2875	1026
737	2880	1022
738	2883	1018
739	2885	1013
740	2893	1011
741	2897	1007
742	2901	1003
743	2904	999
744	2908	995
745	2929	997
746	2931	992
747	2944	991
748	2952	989
749	2960	986
750	2964	982
751	2973	980
752	2975	976
753	2976	971
754	2979	966
755	2982	962
756	2989	959
757	2995	956
758	3002	953
759	3005	948
760	3008	944
761	3014	941
762	3017	937
763	3021	933
764	3024	929
765	3037	927
766	3039	923
767	3046	920
768	3048	915
769	3054	912
770	3056	907
771	3063	904
772	3070	901
773	3073	897
774	3083	895
775	3085	890
776	3089	886
777	3091	882
778	3094	877
779	3098	873
780	3100	869
781	3110	867
782	3120	864
783	3131	862
784	3135	858
785	3145	856
786	3147	851
787	3153	848
788	3158	844
789	3160	840
790	3162	835
791	3166	831
792	3168	827
793	3170	822
794	3179	819
795	3181	815
796	3188	812
797	3190	807
798	3196	804
799	3198	799
800	3205	796
801	3211	792
802	3213	788
803	3219	784
804	3222	780
805	3226	776
806	3231	772
807	3234	768
808	3241	765
809	3246	761
810	3249	757
811	3253	753
812	3257	749
813	3271	747
814	3279	744
815	3285	740
816	3293	737
817	3297	733
818	3299	729
819	3301	724
820	3303	720
821	3312	717
822	3315	712
823	3317	708
824	3319	704
825	3323	700
826	3335	697
827	3339	693
828	3348	690
829	3355	687
830	3363	684
831	3370	680
832	3378	677
833	3381	672
834	3384	668
835	3388	664
836	3391	660
837	3394	656
838	3398	652
839	3402	648
840	3406	643
841	3410	639
842	3413	635
843	3427	633
844	3430	629
845	3437	625
846	3439	621
847	3447	617
848	3451	613
849	3455	609
850	3458	605
851	3460	601
852	3465	597
853	3469	593
854	3473	589
855	3477	584
856	3480	580
857	3484	576
858	3488	572
859	3500	569
860	3503	565
861	3511	562
862	3514	557
863	3523	554
864	3530	551
865	3533	546
866	3538	542
867	3542	538
868	3546	534
869	3553	531
870	3556	526
871	3562	523
872	3566	518
873	3570	514
874	3572	510
875	3574	505
876	3576	501
877	3577	497
878	3580	492
879	3582	488
880	3583	484
881	3586	479
882	3587	475
883	3590	471
884	3592	466
885	3593	462
886	3595	458
887	3597	453
888	3599	449
889	3601	445
890	3603	440
891	3605	436
892	3607	432
893	3609	428
894	3613	423
895	3617	419
896	3621	415
897	3623	411
898	3625	407
899	3627	403
900	3630	398
901	3632	394
902	3634	390
903	3637	386
904	3639	382
905	3643	377
906	3646	373
907	3648	369
908	3650	365
909	3654	361
910	3656	357
911	3659	353
912	3662	349
913	3664	344
914	3667	340
915	3670	336
916	3672	332
917	3676	328
918	3678	324
919	3680	320
920	3682	315
921	3684	311
922	3686	307
923	3687	303
924	3689	299
925	3690	294
926	3691	290
927	3693	286
928	3697	282
929	3698	278
930	3703	274
931	3704	270
932	3706	266
933	3708	262
934	3710	257
935	3711	253
936	3714	249
937	3716	245
938	3723	241
939	3725	237
940	3727	233
941	3728	229
942	3730	225
943	3731	221
944	3734	217
945	3737	213
946	3745	209
947	3748	205
948	3749	201
949	3751	197
950	3752	193
951	3754	189
952	3755	185
953	3756	181
954	3758	177
955	3759	173
956	3761	169
957	3774	165
958	3778	161
959	3782	157
960	3786	153
961	3788	149
962	3798	145
963	3799	141
964	3800	137
965	3802	133
966	3803	129
967	3805	125
968	3806	121
969	3810	117
970	3812	113
971	3817	109
972	3818	105
973	3827	102
974	3829	98
975	3831	94
976	3835	90
977	3838	86
978	3840	82
979	3842	78
980	3845	74
981	3847	70
982	3851	66
983	3896	63
984	3898	59
985	3900	55
986	3902	51
987	3904	47
988	3906	43
989	3907	39
990	3910	35
991	3912	31
992	3914	27
993	3915	23
994	3917	19
995	3919	15
996	3920	11
997	3923	7
998	3925	3
999	3928	0
