iter	Logloss
0	0.6886360832
1	0.6816250053
2	0.6750864221
3	0.6698981796
4	0.6638454534
5	0.6594244929
6	0.6543954189
7	0.6478566699
8	0.6428922368
9	0.6376710888
10	0.6321482642
11	0.6273653417
12	0.6227787176
13	0.6174790642
14	0.6128683917
15	0.6079379314
16	0.6030734638
17	0.5988102921
18	0.5942019218
19	0.5903292639
20	0.5858635808
21	0.5830923569
22	0.5784689701
23	0.5746038364
24	0.5725171062
25	0.5691398211
26	0.5655343645
27	0.5620239581
28	0.5583061714
29	0.5546250234
30	0.5513074144
31	0.5477086436
32	0.5443075289
33	0.5405220516
34	0.5383557839
35	0.5361432107
36	0.5337421919
37	0.5306768757
38	0.5277332287
39	0.5249942716
40	0.5222367402
41	0.5189933025
42	0.5166390303
43	0.5142021878
44	0.5115304922
45	0.5094070771
46	0.5072439422
47	0.5054634226
48	0.5035589839
49	0.5014096023
50	0.4990429925
51	0.497054147
52	0.4949947362
53	0.4933376437
54	0.4909225987
55	0.4894057841
56	0.4873657094
57	0.4852470928
58	0.4832204658
59	0.4811184178
60	0.4792933182
61	0.4772940012
62	0.4755155128
63	0.4737531184
64	0.4719624023
65	0.4705702958
66	0.4689702278
67	0.4675618036
68	0.4659874932
69	0.4643811533
70	0.4629674864
71	0.461107775
72	0.4599480833
73	0.4588131719
74	0.4572829865
75	0.4557698362
76	0.4542055333
77	0.452904082
78	0.451602988
79	0.4508617822
80	0.4497906726
81	0.4490994062
82	0.4480021458
83	0.4471625499
84	0.4458521831
85	0.445071514
86	0.4439959035
87	0.4434459694
88	0.4421958694
89	0.4415667182
90	0.4404465713
91	0.4393475504
92	0.4385580308
93	0.4379423036
94	0.437126743
95	0.436181164
96	0.4352116018
97	0.4343395221
98	0.4334867683
99	0.4329050296
100	0.4318291731
101	0.4313230467
102	0.4305109902
103	0.4299487941
104	0.4292741038
105	0.4284090263
106	0.4276204883
107	0.4268191056
108	0.4260686847
109	0.4254249227
110	0.4248353301
111	0.4242561839
112	0.4236187198
113	0.423145431
114	0.422526391
115	0.4216979607
116	0.4213009652
117	0.4207698365
118	0.4201270696
119	0.4195745511
120	0.4190592866
121	0.4183130592
122	0.4178176789
123	0.4173736426
124	0.4166393346
125	0.4161219218
126	0.4155957772
127	0.4149273943
128	0.4145312681
129	0.413895002
130	0.4133764498
131	0.4129325025
132	0.4125565904
133	0.4120085593
134	0.4116054741
135	0.4112276798
136	0.4107988898
137	0.4105076807
138	0.410132833
139	0.409760227
140	0.4092621449
141	0.408920172
142	0.4084136352
143	0.4079514236
144	0.4074965131
145	0.4070248147
146	0.4066264757
147	0.4063631599
148	0.4060507476
149	0.4057107378
150	0.4053642452
151	0.4049420384
152	0.404617637
153	0.4043294541
154	0.4038588773
155	0.4035941463
156	0.4032256949
157	0.4029473446
158	0.4024733047
159	0.4020882441
160	0.4019343304
161	0.4015713387
162	0.4011719617
163	0.4009644265
164	0.4005961541
165	0.4002454223
166	0.4000230606
167	0.3996934051
168	0.3993730169
169	0.3990760481
170	0.3987598806
171	0.3985463607
172	0.3981934542
173	0.3979446406
174	0.3976927524
175	0.3974761886
176	0.3972718948
177	0.3969212663
178	0.3966683876
179	0.3964630797
180	0.3962341964
181	0.3958602289
182	0.3957112774
183	0.3952508103
184	0.3949280396
185	0.3948418888
186	0.3946322028
187	0.3943817693
188	0.3940957183
189	0.3938126402
190	0.3935304953
191	0.3932111649
192	0.393003757
193	0.3928211588
194	0.3926512351
195	0.392470837
196	0.392342071
197	0.3921569982
198	0.3917898845
199	0.3915842576
200	0.3913615536
201	0.3912154248
202	0.3909952133
203	0.3906998122
204	0.3904929237
205	0.3902669656
206	0.3900936544
207	0.3899315831
208	0.3897449127
209	0.3895524479
210	0.3893908885
211	0.3891216924
212	0.3888220324
213	0.388463476
214	0.388239469
215	0.3880740177
216	0.387813733
217	0.3876582677
218	0.3875958764
219	0.3874607487
220	0.3872780408
221	0.3871238178
222	0.3870116189
223	0.3867095633
224	0.3865475542
225	0.3863983364
226	0.3861858364
227	0.3860443805
228	0.3857673548
229	0.3855805169
230	0.3852866835
231	0.3852374529
232	0.3850553882
233	0.3848637281
234	0.3845546852
235	0.384445003
236	0.3844099242
237	0.384247554
238	0.3840931818
239	0.3838789332
240	0.3837263408
241	0.3834053184
242	0.3832114397
243	0.3830587597
244	0.3828259523
245	0.3826492713
246	0.3824071861
247	0.3823570342
248	0.3821994105
249	0.3820442333
250	0.3819178551
251	0.381737699
252	0.3815854865
253	0.3814709376
254	0.381384128
255	0.3812312694
256	0.3809912897
257	0.38085912
258	0.3807476131
259	0.3806175632
260	0.3805168462
261	0.3803864697
262	0.3802191911
263	0.3801062205
264	0.3799768691
265	0.379900892
266	0.3797537251
267	0.3797011093
268	0.3795141424
269	0.3793660375
270	0.3792378795
271	0.3791421935
272	0.3789624414
273	0.3788368351
274	0.3786910876
275	0.3785561114
276	0.3784761098
277	0.3783538525
278	0.37819652
279	0.378120566
280	0.3778745687
281	0.3777825406
282	0.3776938097
283	0.3776486683
284	0.3775683476
285	0.3773841122
286	0.3772459872
287	0.3770821962
288	0.3769015381
289	0.3768268061
290	0.3767989296
291	0.3766865168
292	0.3765786592
293	0.3763933028
294	0.3762459211
295	0.3761248024
296	0.3760427654
297	0.3758468641
298	0.3756180048
299	0.3755771789
300	0.3753966179
301	0.3752505747
302	0.3751171939
303	0.3749681261
304	0.3748143417
305	0.374684178
306	0.3746679954
307	0.3744977843
308	0.3742815263
309	0.3741593989
310	0.3740769771
311	0.3740197061
312	0.3739260218
313	0.3738698423
314	0.3737662324
315	0.3736761963
316	0.373538374
317	0.3733432657
318	0.3732372869
319	0.3731820031
320	0.3731151831
321	0.373071116
322	0.3729825523
323	0.3729206229
324	0.3727557914
325	0.372700643
326	0.3725346625
327	0.3723828772
328	0.3723401318
329	0.3722268901
330	0.3721549721
331	0.3721122649
332	0.3719995448
333	0.3718680616
334	0.3717396104
335	0.3716330033
336	0.3715651005
337	0.3714873989
338	0.3713826094
339	0.3712311543
340	0.3711209855
341	0.3709358203
342	0.37077335
343	0.3706614039
344	0.3705157979
345	0.3704635585
346	0.3703233858
347	0.3702068617
348	0.3700558856
349	0.3699262112
350	0.3698915172
351	0.3697796731
352	0.3697087283
353	0.3696171032
354	0.3694906431
355	0.3693538395
356	0.3692737546
357	0.3691032722
358	0.3690886872
359	0.3688798625
360	0.3687184586
361	0.3686411468
362	0.3685604112
363	0.3684591171
364	0.3684010995
365	0.368249433
366	0.3680717915
367	0.3679361209
368	0.3677796606
369	0.3677528458
370	0.3676517588
371	0.3675367476
372	0.3673976561
373	0.3673330178
374	0.3672539661
375	0.3671741689
376	0.3670043479
377	0.3669524287
378	0.3668483136
379	0.3667878101
380	0.3667153275
381	0.3665523095
382	0.3664560127
383	0.3663704268
384	0.3662852367
385	0.3661685788
386	0.3660621019
387	0.3660041196
388	0.3659491339
389	0.3659131098
390	0.3657088658
391	0.3656586074
392	0.3655223105
393	0.3654795177
394	0.3652541712
395	0.3651441155
396	0.3651120347
397	0.3650595246
398	0.3649796951
399	0.3648528557
400	0.3647744183
401	0.3647333903
402	0.364593555
403	0.3645013876
404	0.3644399761
405	0.3643396442
406	0.3643080499
407	0.3642235843
408	0.3641729485
409	0.3640144599
410	0.3639913519
411	0.3638779418
412	0.363850521
413	0.3637311788
414	0.3636831464
415	0.3636323152
416	0.3635382599
417	0.3634768338
418	0.3633366405
419	0.3632306537
420	0.3632001754
421	0.3631576031
422	0.3630373711
423	0.3629461914
424	0.3627582025
425	0.3626161087
426	0.3625260262
427	0.3624303424
428	0.362381303
429	0.362330404
430	0.3622505625
431	0.3621269955
432	0.3621111316
433	0.3619611157
434	0.3618265518
435	0.3617920001
436	0.3616739088
437	0.361571546
438	0.3614925734
439	0.3613763494
440	0.3613608703
441	0.3613156507
442	0.3612623989
443	0.3612200572
444	0.3611436996
445	0.3610705763
446	0.3609644176
447	0.3607405956
448	0.3607145048
449	0.3605985362
450	0.360483887
451	0.3603219736
452	0.3602072866
453	0.3601858336
454	0.3600282274
455	0.3600037958
456	0.3599191268
457	0.3598335042
458	0.3597547464
459	0.3596998428
460	0.3596474822
461	0.3595425475
462	0.3594604259
463	0.3593968057
464	0.3593082388
465	0.3592449321
466	0.3591853752
467	0.3591173906
468	0.3589677162
469	0.3588674714
470	0.3587431489
471	0.3586512602
472	0.3585875316
473	0.3584977326
474	0.3584312239
475	0.3583956649
476	0.3583585708
477	0.3583328444
478	0.3582566179
479	0.3581868428
480	0.3581531367
481	0.3580433579
482	0.3579619796
483	0.3579163273
484	0.357852791
485	0.357815147
486	0.3576804266
487	0.3576506211
488	0.3576119746
489	0.3575513151
490	0.3573748205
491	0.3573216576
492	0.3572381205
493	0.3571180172
494	0.3570736166
495	0.357037821
496	0.3569197548
497	0.3568534403
498	0.3567815767
499	0.3566913339
