iter	Passed	Remaining
464	749	862
465	750	860
466	752	858
467	753	856
468	754	854
469	756	853
470	757	851
471	759	849
472	760	847
473	761	844
474	763	843
475	764	842
476	765	839
477	766	837
478	768	835
479	769	834
480	771	832
481	772	830
482	773	828
483	775	826
484	776	824
485	777	822
486	778	820
487	780	818
488	781	816
489	782	814
490	783	812
491	784	810
492	786	808
493	787	806
494	788	804
495	789	802
496	791	800
497	792	798
498	793	796
499	794	794
500	795	792
501	796	790
502	798	788
503	799	786
504	801	785
505	801	782
506	802	780
507	803	778
508	805	776
509	806	774
510	807	772
511	808	770
512	809	768
513	810	766
514	811	764
515	812	762
516	813	760
517	815	758
518	816	756
519	817	754
520	818	752
521	819	750
522	820	748
523	821	746
524	822	744
525	823	742
526	825	740
527	826	738
528	827	737
529	829	735
530	830	733
531	831	731
532	832	729
533	833	727
534	834	725
535	835	723
536	837	722
537	838	720
538	839	718
539	840	716
540	841	714
541	843	712
542	844	711
543	846	709
544	847	707
545	848	705
546	849	703
547	851	701
548	852	700
549	853	698
550	854	696
551	855	694
552	857	692
553	858	690
554	859	688
555	860	686
556	861	685
557	862	683
558	863	681
559	865	679
560	866	678
561	867	676
562	868	674
563	869	672
564	871	670
565	872	668
566	873	667
567	875	665
568	876	663
569	877	662
570	878	659
571	879	658
572	880	656
573	883	655
574	885	654
575	886	652
576	887	650
577	890	650
578	893	649
579	894	647
580	895	646
581	897	644
582	898	642
583	899	640
584	902	640
585	904	638
586	904	636
587	906	634
588	907	632
589	908	631
590	909	629
591	910	627
592	911	625
593	912	623
594	914	622
595	915	620
596	916	618
597	917	616
598	918	615
599	920	613
600	921	611
601	922	610
602	924	608
603	925	606
604	927	605
605	928	603
606	930	602
607	931	600
608	933	599
609	934	597
610	936	596
611	938	594
612	939	593
613	940	591
614	941	589
615	943	588
616	944	586
617	946	584
618	947	583
619	948	581
620	950	579
621	951	578
622	953	576
623	954	575
624	955	573
625	957	571
626	958	570
627	959	568
628	961	566
629	962	565
630	963	563
631	964	561
632	965	559
633	966	558
634	967	556
635	968	554
636	970	552
637	971	551
638	972	549
639	974	547
640	975	546
641	976	544
642	977	542
643	978	540
644	979	539
645	980	537
646	981	535
647	982	533
648	983	532
649	984	530
650	985	528
651	987	526
652	987	524
653	989	523
654	989	521
655	990	519
656	991	517
657	992	515
658	993	514
659	994	512
660	995	510
661	997	509
662	998	507
663	999	505
664	1000	504
665	1001	502
666	1002	500
667	1004	499
668	1005	497
669	1006	495
670	1007	493
671	1008	492
672	1009	490
673	1010	488
674	1011	487
675	1012	485
676	1013	483
677	1014	481
678	1015	480
679	1016	478
680	1018	476
681	1019	475
682	1020	473
683	1021	471
684	1022	470
685	1023	468
686	1024	466
687	1026	465
688	1027	463
689	1028	462
690	1029	460
691	1030	458
692	1032	457
693	1033	455
694	1034	454
695	1035	452
696	1036	450
697	1037	449
698	1038	447
699	1039	445
700	1040	443
701	1041	442
702	1042	440
703	1044	438
704	1045	437
705	1046	435
706	1047	434
707	1049	432
708	1050	431
709	1050	429
710	1052	427
711	1053	426
712	1054	424
713	1055	422
714	1056	421
715	1058	419
716	1059	418
717	1061	416
718	1062	415
719	1063	413
720	1064	412
721	1067	410
722	1068	409
723	1070	407
724	1074	407
725	1074	405
726	1076	404
727	1077	402
728	1078	400
729	1079	399
730	1080	397
731	1082	396
732	1083	394
733	1084	393
734	1086	391
735	1087	390
736	1090	389
737	1091	387
738	1092	385
739	1094	384
740	1095	382
741	1096	381
742	1098	379
743	1098	378
744	1099	376
745	1101	374
746	1102	373
747	1103	371
748	1104	370
749	1106	368
750	1107	367
751	1108	365
752	1109	364
753	1110	362
754	1112	360
755	1113	359
756	1114	357
757	1116	356
758	1117	354
759	1118	353
760	1120	351
761	1121	350
762	1122	348
763	1123	347
764	1125	345
765	1126	344
766	1127	342
767	1128	341
768	1130	339
769	1131	337
770	1133	336
771	1133	334
772	1135	333
773	1136	331
774	1137	330
775	1138	328
776	1139	327
777	1141	325
778	1142	324
779	1144	322
780	1145	321
781	1146	319
782	1147	318
783	1148	316
784	1149	314
785	1150	313
786	1152	311
787	1153	310
788	1154	308
789	1155	307
790	1157	305
791	1158	304
792	1159	302
793	1160	301
794	1161	299
795	1162	298
796	1164	296
797	1165	295
798	1166	293
799	1167	291
800	1168	290
801	1170	288
802	1171	287
803	1172	285
804	1173	284
805	1175	282
806	1176	281
807	1177	279
