iter	Logloss
0	0.6708567582
1	0.6505233899
2	0.6308503313
3	0.6125588348
4	0.595473975
5	0.5791815444
6	0.5633432906
7	0.5488712053
8	0.5351756814
9	0.5221258861
10	0.5099988565
11	0.498324573
12	0.4873096818
13	0.4772347441
14	0.4679318662
15	0.4587528325
16	0.4501254511
17	0.4420292753
18	0.4344064072
19	0.4273925985
20	0.4212248309
21	0.4147081409
22	0.4084368417
23	0.4028654907
24	0.3974913995
25	0.3925866003
26	0.3875002943
27	0.3828175311
28	0.3784458908
29	0.3742334557
30	0.370329339
31	0.3670336606
32	0.3638996047
33	0.3605312192
34	0.3571261175
35	0.3538597173
36	0.3513276146
37	0.3484934537
38	0.346129305
39	0.3435401683
40	0.3409369375
41	0.3383850855
42	0.3357431987
43	0.3333282566
44	0.3309449081
45	0.3287675804
46	0.3265910957
47	0.3245496367
48	0.322762114
49	0.3210715723
50	0.3193803232
51	0.3176564812
52	0.3161181349
53	0.3146033495
54	0.3132047951
55	0.3117783814
56	0.3104056117
57	0.3091609825
58	0.3078718404
59	0.3068102976
60	0.3056379187
61	0.3045389436
62	0.3034992497
63	0.3025082093
64	0.3015393672
65	0.300569399
66	0.2997131899
67	0.2988486212
68	0.2980409727
69	0.2972945656
70	0.2964679551
71	0.295713374
72	0.2949928693
73	0.2942986718
74	0.2936865832
75	0.2930880198
76	0.2924401219
77	0.2918984935
78	0.2912773693
79	0.2907494412
80	0.2901747259
81	0.2896876438
82	0.2891759485
83	0.2887828628
84	0.2883379643
85	0.2879921188
86	0.2875388219
87	0.2871936762
88	0.2867831161
89	0.286368732
90	0.2859846814
91	0.2856358753
92	0.2853016964
93	0.2849752193
94	0.2846731612
95	0.284340082
96	0.2840181227
97	0.2837297526
98	0.2834348199
99	0.2831381339
100	0.2828669983
101	0.2825694063
102	0.2823195839
103	0.28208762
104	0.281857163
105	0.2816252739
106	0.281377301
107	0.2811708734
108	0.2809603525
109	0.2807863826
110	0.2806163292
111	0.2804306402
112	0.2802877017
113	0.2800586451
114	0.2798809329
115	0.2797034297
116	0.2795521883
117	0.2793895955
118	0.2792052789
119	0.2790463044
120	0.2788982292
121	0.2787697468
122	0.2786153941
123	0.2784804087
124	0.2783267664
125	0.2781923406
126	0.2780677798
127	0.2779340471
128	0.277807707
129	0.2776692486
130	0.27755851
131	0.2774528473
132	0.2773463468
133	0.2772275104
134	0.2771187728
135	0.2770118076
136	0.2769107567
137	0.2768148687
138	0.2767233541
139	0.2766367964
140	0.2765426886
141	0.276444715
142	0.2763521879
143	0.2762703265
144	0.2761756119
145	0.2760870742
146	0.2760032076
147	0.2759303047
148	0.2758644336
149	0.2757854684
150	0.2757041456
151	0.2756297572
152	0.2755611326
153	0.2754813305
154	0.2754188164
155	0.2753502789
156	0.275289437
157	0.2752207453
158	0.2751621229
159	0.2751065496
160	0.2750533
161	0.2749970408
162	0.274939763
163	0.2748803191
164	0.2748255925
165	0.2747669292
166	0.2747076737
167	0.2746640767
168	0.2746114513
169	0.2745667918
170	0.2745129541
171	0.2744695294
172	0.2744236168
173	0.2743797902
174	0.2743309045
175	0.2742886853
176	0.2742461083
177	0.2741930989
178	0.2741517811
179	0.2740974028
180	0.2740544264
181	0.2740114919
182	0.2739692842
183	0.2739300346
184	0.273890477
185	0.2738553981
186	0.2738168801
187	0.27377721
188	0.2737403826
189	0.2737045659
190	0.2736685905
191	0.27363936
192	0.2736077899
193	0.27357134
194	0.2735374147
195	0.2735084655
196	0.2734747722
197	0.2734471882
198	0.2734052269
199	0.27338098
200	0.2733544968
201	0.2733287607
202	0.273294217
203	0.2732632884
204	0.2732369495
205	0.2732123602
206	0.273181474
207	0.2731556706
208	0.2731240495
209	0.2730921812
210	0.2730621113
211	0.2730340564
212	0.2730080851
213	0.2729817395
214	0.2729593207
215	0.2729412573
216	0.2729161018
217	0.272890855
218	0.2728720042
219	0.2728474827
220	0.2728273239
221	0.2728025795
222	0.2727829108
223	0.2727576321
224	0.2727334931
225	0.2727138648
226	0.2726930984
227	0.2726772321
228	0.2726531656
229	0.2726347964
230	0.2726082543
231	0.2725843555
232	0.2725628375
233	0.2725405848
234	0.2725175554
235	0.2724963346
236	0.2724791787
237	0.2724642573
238	0.2724411627
239	0.2724272399
240	0.2724097684
241	0.2723911551
242	0.2723670334
243	0.2723529748
244	0.2723368111
245	0.2723186604
246	0.2722973615
247	0.2722781905
248	0.272263174
249	0.2722474469
250	0.2722319338
251	0.2722092653
252	0.2721962688
253	0.2721788685
254	0.272162063
255	0.272145912
256	0.2721299039
257	0.2721125537
258	0.2720967816
259	0.272080976
260	0.2720681278
261	0.2720528628
262	0.2720341792
263	0.2720175876
264	0.2720028251
265	0.2719880374
266	0.2719725379
267	0.2719588085
268	0.2719453941
269	0.2719291208
270	0.2719074643
271	0.2718951491
272	0.2718815822
273	0.2718630137
274	0.2718487627
275	0.2718384506
276	0.2718254602
277	0.2718103203
278	0.2717961547
279	0.2717842309
280	0.2717687448
281	0.2717495574
282	0.2717382985
283	0.2717211118
284	0.2717092497
285	0.2716905958
286	0.2716788053
287	0.2716628385
288	0.2716367828
289	0.2716219152
290	0.271610443
291	0.2715987208
292	0.271586661
293	0.271556519
294	0.2715414514
295	0.2715296964
296	0.2715141014
297	0.2715034779
298	0.2714952421
299	0.2714846395
300	0.2714734143
301	0.2714652618
302	0.2714557766
303	0.27144393
304	0.2714317512
305	0.2714148334
306	0.271405555
307	0.2713974222
308	0.2713841917
309	0.2713690928
310	0.2713596337
311	0.2713473376
312	0.2713384517
313	0.2713261307
314	0.2712881717
315	0.2712750395
316	0.2712660927
317	0.2712566959
318	0.2712498153
319	0.271244008
320	0.2712339625
321	0.2712280894
322	0.2712180938
323	0.2712097452
324	0.2712004019
325	0.271186928
326	0.2711799109
327	0.2711680872
328	0.2711562719
329	0.2711475105
330	0.2711337989
331	0.2711256463
332	0.2711151381
333	0.2711052648
334	0.271091325
335	0.271084024
336	0.2710746991
337	0.2710665109
338	0.271059993
339	0.2710506219
340	0.2710409502
341	0.2710349966
342	0.2710248866
343	0.2710143119
344	0.2710049188
345	0.2709981402
346	0.2709915817
347	0.270983958
348	0.2709679678
349	0.270963986
350	0.2709523539
351	0.270941617
352	0.2709309793
353	0.2709232352
354	0.2709163956
355	0.2709105717
356	0.2709050247
357	0.2708983704
358	0.2708924617
359	0.2708811055
360	0.2708742549
361	0.2708723551
362	0.2708607265
363	0.2708508449
